name	length	score	pvalue
NODE_1_length_576855_cov_17.155733	576855	0.0254393141863878	0.573490177055542
NODE_2_length_264378_cov_11.585458	264378	0.0211590879227683	0.606112054329372
NODE_3_length_109381_cov_8.571337	109381	0.172710108408357	0.247513946155712
NODE_4_length_86514_cov_9.751212	86514	0.226388817049252	0.203492602473927
NODE_5_length_65088_cov_10.862885	65088	0.507089943581793	0.0856172689788989
NODE_6_length_61270_cov_3.963653	61270	0.0402245306100879	0.490177055542081
NODE_7_length_53681_cov_7.396207	53681	0.0358443570926471	0.512005821004123
NODE_8_length_46689_cov_12.914976	46689	0.0545389070467026	0.438394373029348
NODE_9_length_44408_cov_5.457669	44408	0.0233018765391168	0.590104292990541
NODE_10_length_41715_cov_27633.072156	41715	0.937081320994044	0.00885277710405045
NODE_11_length_37379_cov_2108.923079	37379	0.999487292513144	0
NODE_12_length_32888_cov_3.689459	32888	0.0379709910664091	0.498666019888431
NODE_13_length_32732_cov_5.934878	32732	0.0208477735745302	0.607688576279408
NODE_14_length_30801_cov_940.226924	30801	0.998374715807043	0.000485083676934271
NODE_15_length_20829_cov_2.727929	20829	0.0275560437816528	0.561363085132185
NODE_17_length_16340_cov_3.743813	16340	0.025459869504896	0.573490177055542
NODE_18_length_15182_cov_3.229986	15182	0.0288662356813816	0.551418869755033
NODE_19_length_12094_cov_2.904062	12094	0.0612585963428955	0.41741450400194
NODE_20_length_12018_cov_3.858313	12018	0.00663717585123208	0.782561241814213
NODE_21_length_10522_cov_3.724754	10522	0.0545859192746316	0.438273102110114
NODE_22_length_9825_cov_3.616377	9825	0.00798648779055682	0.757943245209799
NODE_23_length_9252_cov_3.516364	9252	0.0468297124617662	0.463497453310696
NODE_24_length_8502_cov_2.670416	8502	0.00865717260346109	0.74642250788261
NODE_25_length_7480_cov_2.527003	7480	0.0152313176664617	0.661290322580645
NODE_26_length_6735_cov_3.492216	6735	0.00415266784903812	0.834343924326946
NODE_27_length_6475_cov_3.053894	6475	0.00298614080885584	0.866116905166141
NODE_28_length_5743_cov_2.454290	5743	0.0142035549587023	0.672932330827068
NODE_29_length_5539_cov_3.100109	5539	0.0028428381770369	0.869027407227747
NODE_30_length_5482_cov_2.494011	5482	0.169648315950938	0.250424448217317
NODE_31_length_5470_cov_2.396676	5470	0.0322053524607717	0.532015522677662
NODE_32_length_5441_cov_927.018381	5441	0.994738948651332	0.00133398011156925
NODE_33_length_5270_cov_2.451390	5270	0.00850257527127181	0.748847926267281
NODE_34_length_5122_cov_2.175844	5122	0.10235784091791	0.331190880426874
NODE_35_length_4798_cov_2.165296	4798	0.0729779173526549	0.388552025224351
NODE_36_length_4754_cov_3.243669	4754	0.0295355732168514	0.546810574824157
NODE_37_length_4734_cov_2.903184	4734	0.00183372269526816	0.906378850351686
NODE_38_length_4622_cov_2.203197	4622	0.112020988576032	0.316759641038079
NODE_39_length_4391_cov_2.480858	4391	0.0106538321124855	0.715255881639583
NODE_40_length_3956_cov_2.510638	3956	0.280385980405475	0.173659956342469
NODE_41_length_3941_cov_2.496140	3941	0.00169452056456542	0.910138248847926
NODE_42_length_3934_cov_2.942511	3934	0.00096427513262965	0.943972835314092
NODE_43_length_3921_cov_2.436886	3921	0.260042685750523	0.183967984477322
NODE_44_length_3754_cov_2.346580	3754	0.0197455684161193	0.617147707979626
NODE_45_length_3721_cov_2.812330	3721	0.145578784248387	0.273465922871695
NODE_47_length_3707_cov_3.094195	3707	0.149611053421025	0.269342711617754
NODE_48_length_3691_cov_2.371837	3691	0.00446732926654272	0.824157167111327
NODE_49_length_3551_cov_3.146739	3551	0.0298573462659478	0.544991511035654
NODE_50_length_3517_cov_2.222704	3517	0.0890443833205793	0.356293960708222
NODE_51_length_3489_cov_1.962726	3489	0.0422565619909521	0.482051903953432
NODE_52_length_3370_cov_14.941176	3370	0.0421354972782757	0.4826582585496
NODE_53_length_3162_cov_2.225298	3162	0.0214014021796823	0.604414261460102
NODE_54_length_3145_cov_1.613269	3145	0.147800071367507	0.271525588163958
NODE_55_length_3142_cov_2.388403	3142	0.0242391627737162	0.580645161290323
NODE_56_length_3078_cov_2.444922	3078	0.276670983276287	0.175600291050206
NODE_57_length_3065_cov_3.225914	3065	0.221641240826163	0.205918020858598
NODE_58_length_2946_cov_2.880664	2946	0.524664343180834	0.144576872483757
NODE_59_length_2872_cov_2.149805	2872	0.110275062468236	0.519472236616574
NODE_60_length_2845_cov_1.532258	2845	0.0858851490433543	0.574839558336987
NODE_61_length_2772_cov_2.254325	2772	0.0201938765979166	0.831147606329972
NODE_62_length_2705_cov_1.990943	2705	0.106776102108572	0.527324909315582
NODE_63_length_2697_cov_1.728615	2697	0.132156978653468	0.478734005660302
NODE_64_length_2646_cov_1.694327	2646	0.0445274427481851	0.707697213696337
NODE_65_length_2610_cov_2.745205	2610	0.20292213961082	0.377047873400566
NODE_66_length_2574_cov_2.547042	2574	0.193037602872078	0.389524454896959
NODE_68_length_2532_cov_1.902301	2532	0.312021561073461	0.269701438992307
NODE_69_length_2424_cov_4.001688	2424	0.059294214211404	0.652728504803285
NODE_70_length_2329_cov_2.718558	2329	0.0803964220333743	0.588830868577351
NODE_71_length_2326_cov_1.875385	2326	0.156104279513463	0.44226093195679
NODE_72_length_2307_cov_1.854796	2307	0.327022466743688	0.258261250847052
NODE_73_length_2232_cov_1.925586	2232	0.0813110854432054	0.586319607764978
NODE_74_length_2182_cov_1.908792	2182	0.0450729347020611	0.705664288276797
NODE_75_length_2144_cov_2.674485	2144	0.0427980228311684	0.714154741499581
NODE_76_length_2144_cov_2.482528	2144	0.0225133283283749	0.817196157372344
NODE_77_length_2086_cov_2.474643	2086	0.139926217210815	0.466018256467493
NODE_78_length_2080_cov_1.890864	2080	0.273621580626458	0.302826164945988
NODE_81_length_2059_cov_13.267964	2059	0.44280539997601	0.183959819827002
NODE_82_length_2020_cov_811.839186	2020	0.989206624990872	0.000677641806513334
NODE_83_length_2018_cov_2.566989	2018	0.100506262330994	0.540279826204807
NODE_84_length_2009_cov_3.057318	2009	0.0815766247737473	0.585641965958465
NODE_85_length_2007_cov_1.562500	2007	0.352406772351499	0.23896839000279
NODE_87_length_1970_cov_1.870496	1970	0.0861453432434806	0.574161916530474
NODE_88_length_1967_cov_2.078452	1967	0.360571377591311	0.233427671702475
NODE_89_length_1961_cov_2.308499	1961	0.399309392914312	0.208912982819787
NODE_90_length_1960_cov_1.839895	1960	0.0271541554141377	0.79080798820106
NODE_91_length_1945_cov_2.442328	1945	0.512534096842501	0.150117590784071
NODE_92_length_1937_cov_2.032944	1937	0.207467828466429	0.371307848686571
NODE_93_length_1860_cov_2.329086	1860	0.0719073590496181	0.612667915653526
NODE_94_length_1857_cov_1.794118	1857	0.118180156980146	0.504962729700642
NODE_95_length_1846_cov_1.690117	1846	0.0837449262722648	0.58030055407183
NODE_96_length_1841_cov_2.531915	1841	0.344287912187756	0.24486785984773
NODE_97_length_1835_cov_2.620787	1835	0.141731085799334	0.463546856937856
